practice,Other,Venlafaxine,Mirtazapine,Duloxetine,MAOi,Citalopram,Fluoxetine,Fluvoxamine,Sertraline,Escitalopram,Paroxetine,Tricyclics,Trimipramine,Dosulepin,Amitriptyline,Trazodone,Lofepramine,Maprotiline,Mianserin,total_items,total_cost
D82012,4729,1565,2661,380,0,4377,1635,86,3761,354,336,4422,0,67,4104,58,19,0,0,19700,61416.348179999964
D82013,1752,777,861,112,6,2692,1072,2,1366,111,106,2050,28,130,1757,1,0,0,0,9157,46409.141550000015
D82015,2302,704,1258,309,7,3282,1946,12,2747,360,600,3427,13,416,2508,51,64,0,0,14683,44166.19109
D82016,3641,1277,2208,155,0,2956,1272,0,3915,125,271,4516,0,322,3727,78,141,0,0,16696,43364.024470000018
D82017,4321,1119,2559,463,13,3670,1937,13,2353,106,414,4186,0,547,3305,98,48,0,0,17013,44036.678429999913
D82018,1904,742,929,151,13,2314,635,4,2026,67,142,3016,5,290,2609,22,8,0,0,10121,39472.696879999981
D82019,2784,1184,1216,288,6,4410,2797,34,2657,97,209,4032,28,122,3398,64,56,0,0,17026,60191.369809999931
D82020,4886,2074,2426,358,24,4856,2031,0,2684,126,338,4490,11,264,3941,22,15,0,0,19435,52573.37236999999
D82022,2932,859,1380,519,6,2884,1952,0,1286,107,208,2107,0,117,1751,77,12,0,0,11482,25027.997799999986
D82023,4443,1933,1894,531,5,6147,1893,11,2548,145,1019,4796,0,232,4215,65,24,0,0,21007,48036.480960000015
D82024,2208,589,1309,267,0,2971,962,13,1656,184,163,2919,0,252,2399,62,4,0,0,11076,27280.806100000016
D82025,3232,896,1685,608,14,2878,2026,13,3233,763,297,3045,0,348,2369,28,13,0,0,15501,39078.822900000006
D82026,5107,1509,2990,304,0,3035,1502,53,2183,472,324,5068,0,115,3802,777,6,0,21,17744,53895.14582
D82027,3201,1178,1648,321,0,2574,1794,5,1609,355,363,3416,0,505,2559,89,6,0,0,13317,34489.06561
D82028,2248,661,1185,277,0,2881,1072,0,1908,44,153,3157,11,125,2686,7,35,0,0,11463,34443.656160000035
D82029,6328,2154,3384,655,20,11658,3295,17,6017,444,358,8393,0,361,7203,230,94,0,0,36530,75437.5448199999
D82030,2641,1037,1419,174,0,3795,1412,14,2623,269,246,5043,0,482,4048,16,39,0,0,16043,43770.283939999979
D82031,3145,1057,1468,398,0,2606,1624,0,1757,467,159,3418,0,257,2824,51,48,0,0,13176,33761.944509999972
D82032,3325,1168,1736,328,0,2609,1634,0,2781,2045,360,3275,1,209,2717,16,27,0,0,16029,36714.375539999986
D82034,5382,2444,2310,438,0,8247,2404,20,4524,477,492,7210,42,463,6114,178,6,0,0,28756,81471.052240000048
D82035,4815,2255,1833,629,12,4311,2477,0,4056,82,527,5439,0,293,4467,76,166,0,1,21719,65769.789269999979
D82036,2297,626,1437,156,7,3476,1352,0,2156,350,209,3263,0,522,2375,59,78,0,0,13110,35614.769239999987
D82037,3104,1022,1555,407,0,3245,1689,0,2373,693,125,4271,0,202,3681,66,88,0,0,15500,32380.954770000018
D82038,1134,580,423,131,0,779,231,0,554,237,44,873,0,29,819,3,13,0,0,3852,15983.85142000001
D82039,2354,674,1212,293,0,5175,1099,0,2564,156,315,3429,0,300,2907,35,0,0,0,15092,34043.464799999965
D82040,7513,2885,3846,549,1,6437,2932,0,5489,266,494,5453,68,383,4092,522,33,0,0,28585,75325.064239999963
D82041,3391,1327,1381,666,5,2805,1228,0,3161,15,190,2753,0,177,2230,197,51,0,0,13548,44287.648330000047
D82042,1988,791,1029,135,0,3575,1198,0,2458,25,154,3169,0,169,2481,147,19,0,0,12567,31275.400229999977
D82043,1679,883,456,303,0,2695,1426,0,2940,577,359,3589,29,876,2355,66,27,0,0,13265,42356.129110000024
D82044,13277,5337,6002,1523,42,15892,6682,22,8579,705,1444,14140,39,1316,11088,285,123,0,0,60783,172433.9985299999
D82045,5725,2421,2433,699,7,5360,2526,0,3556,567,442,5640,95,565,4258,209,83,0,0,23823,115680.78366000009
D82046,1829,932,697,89,13,2468,956,0,1218,293,126,2818,116,311,2207,16,0,0,0,9721,23955.935310000033
D82047,5377,1543,3337,458,0,2825,1420,6,2091,801,411,4181,10,214,3169,473,24,0,0,17112,59496.376209999966
D82048,7198,2715,3000,511,0,5403,1329,5,3480,270,268,4266,0,423,3334,149,32,0,0,22219,70806.430859999964
D82049,2770,1785,873,112,0,1098,567,0,813,464,121,2173,0,400,1523,209,0,0,0,8006,10972.397599999997
D82050,4353,1819,2086,295,0,3535,1258,0,2829,34,463,4248,0,209,3555,149,35,0,0,16720,54716.465809999994
D82051,7047,2544,3404,756,23,7279,2184,63,3608,717,499,6240,12,502,4356,82,34,0,0,27660,91662.340560000113
D82053,3037,668,2121,198,0,3034,945,0,1517,445,202,3779,0,229,3215,42,20,0,0,12959,36141.138179999958
D82054,4512,1733,2326,407,0,6534,2455,24,3293,1531,316,6165,3,442,5160,78,32,0,0,24830,60360.653889999994
D82056,5795,1389,3796,466,3,3989,1553,0,3592,112,590,4918,13,410,3939,232,0,0,0,20552,53452.31948999998
D82057,1960,670,1010,202,0,2787,1845,8,2344,40,243,3372,14,214,2743,81,40,0,5,12599,37138.658830000008
D82058,5953,1827,3152,661,34,7324,3068,11,3858,718,393,9044,33,465,7930,38,190,0,0,30403,74816.389279999945
D82059,2950,1089,1618,212,9,4610,1997,0,3224,2003,368,3994,0,315,3230,110,49,0,14,19155,42093.479290000032
D82060,3196,1391,1442,235,0,2423,1029,0,1931,30,175,2509,0,148,2010,116,16,0,0,11293,31215.455409999991
D82062,2996,1076,1655,172,8,4893,1908,0,2446,366,296,4314,0,288,3576,55,14,0,0,17227,47191.650120000013
D82063,4106,1362,2299,428,3,4429,2025,0,2507,51,511,5104,1,233,4442,59,7,0,0,18736,43602.318189999933
D82064,6315,2072,3593,453,0,6759,2430,15,4153,324,435,6192,0,534,4915,63,15,0,0,26623,84759.127409999957
D82065,2887,829,1573,418,0,3150,1751,5,2028,881,173,3843,12,365,3106,22,17,0,0,14718,35447.578239999944
D82066,2815,633,1668,493,0,3772,1577,0,2384,277,301,3646,0,235,3162,27,15,0,0,14772,27285.22372000002
D82067,5246,1465,3255,303,1,2068,3244,0,6404,109,412,5190,20,0,4322,290,147,0,0,22674,50984.05679
D82068,1651,646,652,353,42,1846,2232,7,1562,1577,557,2538,0,235,1933,54,26,0,0,12012,29340.927710000004
D82069,1485,463,830,138,0,1172,560,0,966,111,75,1437,0,126,1145,16,0,0,0,5806,19755.94579
D82070,2579,1173,926,326,24,3140,811,0,1758,210,324,2923,11,336,2285,131,19,0,0,11769,40924.441540000036
D82071,5018,1742,2318,924,12,5674,2209,0,3463,435,411,6302,34,298,5619,62,30,0,0,23524,102129.44205
D82072,3417,1531,1053,818,12,2795,931,56,1522,760,163,2994,78,377,2333,0,0,0,0,12650,58293.287199999955
D82073,3252,870,2118,231,51,3136,970,0,2428,228,228,2369,0,21,2065,213,13,0,0,12662,27121.10896000002
D82076,2507,848,1459,158,0,2981,728,19,2622,207,222,2716,0,134,2132,245,62,0,0,12002,37108.18607
D82078,2836,1082,1258,439,0,3076,857,46,2221,460,157,3019,57,108,2505,20,7,0,5,12672,48061.668079999967
D82079,2239,1051,831,343,51,1933,1117,0,1774,81,128,3307,5,322,2463,105,0,0,0,10630,25494.99385999998
D82080,2623,939,1424,204,1,3200,980,1,2026,1447,222,3145,16,301,2499,9,82,0,0,13645,32607.678000000007
D82084,3226,1327,1459,374,1,3718,943,26,1522,298,729,4653,21,484,3785,44,7,0,0,15116,46143.172939999982
D82085,2634,1047,962,439,1,1672,1296,0,1477,67,264,3010,13,160,2485,80,33,0,0,10421,38000.38999000004
D82087,3928,1181,2435,266,14,3013,1164,0,2749,535,160,3479,0,92,3136,151,13,0,0,15042,32487.362260000005
D82088,1706,848,629,223,0,2452,1630,1,2788,127,56,955,16,40,807,32,2,0,0,9715,34057.63382000001
D82096,2830,769,1705,336,15,2393,856,0,1509,63,138,2802,13,208,2346,85,49,0,0,10606,47206.142990000015
D82099,6079,2722,2693,627,1,3581,1992,13,3771,336,229,4653,0,316,3830,113,2,0,0,20655,65176.748699999982
D82100,1280,574,441,165,0,2113,751,0,928,65,215,1667,0,27,1582,0,14,0,0,7019,15803.541079999997
D82104,4225,1656,2139,368,12,3996,1459,0,1646,645,407,4234,173,246,3215,181,37,0,0,16624,94592.98558000011
D82105,2310,1292,824,194,0,2785,1676,0,811,120,185,3378,0,239,2811,91,0,0,0,11265,26102.311389999966
D82106,1964,821,825,311,0,1453,571,0,1539,154,26,1624,0,191,1336,29,2,0,0,7331,19104.80434000001
D82600,230,127,60,41,0,770,98,0,311,32,206,483,0,15,406,0,0,0,0,2130,5457.596690000003
D82604,647,329,227,91,0,379,478,0,712,248,114,982,12,86,807,33,25,0,0,3560,11002.957939999995
D82613,2547,780,1626,100,12,3139,2168,0,4810,29,166,4324,3,28,4246,15,0,0,0,17195,32490.74016
D82618,1546,692,722,103,0,1479,924,1,1296,52,113,1522,0,128,1181,39,1,0,0,6933,22909.320010000014
D82621,2616,1017,1101,460,24,2163,1370,0,1420,1017,195,4048,0,323,3546,6,14,0,0,12853,25958.458139999995
D82624,1754,762,825,82,0,1753,765,0,973,358,107,1136,0,54,970,28,4,0,0,6846,17234.16694000001
D82628,939,475,350,86,10,1115,424,0,861,201,116,961,0,29,846,9,18,0,0,4627,16644.718339999989
D83001,2772,1260,1088,364,20,3568,673,0,3125,101,302,3479,5,32,2991,164,0,0,0,14040,34714.162710000041
D83002,5712,1638,3133,404,23,4548,2929,18,5426,85,879,6202,7,620,4652,251,78,0,0,25822,84449.520010000124
D83003,1575,962,391,222,18,1557,329,0,1780,53,411,2069,0,125,1689,108,1,0,13,7792,16344.494869999986
D83004,2917,1125,1409,331,0,2849,1512,0,2362,74,136,3750,0,17,3404,30,6,0,0,13600,45059.602560000043
D83005,3861,991,2336,513,26,5190,1756,0,4983,134,516,6153,20,154,5018,442,186,0,13,22619,59105.23406000001
D83006,2071,478,1139,206,0,1726,977,0,1671,48,260,3302,27,40,2840,80,0,0,0,10055,31319.382580000027
D83007,3642,1303,1543,777,0,5803,1666,0,1367,105,317,4050,0,104,3743,95,24,0,0,16950,40271.428129999971
D83008,6690,2202,3591,791,0,3548,1783,0,5271,59,228,5166,0,15,4452,148,20,0,0,22745,66648.479519999979
D83009,6834,2267,3496,392,0,4722,3133,27,4365,257,399,7531,172,497,5540,123,150,0,7,27268,117459.69183
D83010,3078,848,1754,345,0,3818,1110,20,2332,121,202,3468,101,167,2714,0,84,0,0,14149,47572.753059999974
D83011,3783,1125,2252,307,19,4105,1686,0,3135,34,262,3982,30,70,3187,123,58,0,0,17006,65116.26064999996
D83012,6030,2659,2900,453,12,6674,2498,0,5121,272,789,7292,73,207,6218,295,29,0,0,28688,99262.909550000055
D83013,5361,1351,3144,828,18,4856,2075,0,4299,128,666,6020,14,134,4939,479,45,0,0,23423,66062.375829999917
D83014,3106,1120,1511,424,27,2536,900,0,3239,348,456,4108,11,15,3517,211,45,0,0,14720,39873.233480000039
D83015,2477,1060,1061,313,11,2172,927,0,1723,19,133,2605,0,27,2192,197,13,0,0,10067,33157.14778
D83016,2866,853,1626,242,13,4011,1449,5,2622,62,311,4277,0,268,3464,173,110,0,0,15616,48547.240290000045
D83017,5172,1943,2191,1011,71,7838,1616,0,3635,173,255,4478,0,34,3781,209,73,0,0,23238,55179.826050000018
D83018,4072,1984,1580,508,58,3377,2030,0,5034,153,480,4041,17,111,3314,117,51,0,0,19245,63110.856650000009
D83019,3264,1565,1258,356,0,3988,497,0,2651,385,224,4148,44,67,3553,98,30,0,0,15157,33244.04166000001
D83020,2786,978,1457,326,0,2808,654,0,2082,225,311,2781,34,26,2290,92,13,0,0,11647,46534.67839999991
D83021,7177,3241,3273,663,58,5607,1455,1,5370,121,780,6513,0,120,5720,217,151,0,0,27082,62343.154979999978
D83022,1613,495,800,212,13,2176,719,3,1122,50,186,1777,13,40,1604,25,15,0,0,7659,33159.11613
D83023,6691,1708,3117,510,10,4799,2908,6,4341,35,393,7436,22,462,4968,270,415,0,0,26619,87687.435269999987
D83024,3144,818,1729,566,2,3439,1059,0,1786,20,78,3673,16,34,3271,66,26,0,0,13201,49451.65606999999
D83026,3262,1776,1161,300,22,3120,995,0,1918,92,281,3472,0,83,2878,152,12,0,0,13162,31722.740460000037
D83027,3764,1429,1925,382,3,4055,1290,0,3329,166,300,3657,0,55,3221,157,44,0,0,16564,35140.604280000058
D83028,2889,993,1644,221,0,2317,1274,14,1154,19,140,3605,0,64,3098,77,32,0,0,11412,25470.987660000017
D83029,5313,1919,2651,698,26,4824,1721,0,3338,83,676,5814,3,232,5045,295,54,0,0,21795,57281.931609999971
D83030,4209,810,2833,231,0,3441,927,5,2264,78,105,2546,15,118,1946,114,120,0,0,13575,37235.75473999996
D83033,2149,1013,754,330,0,2634,781,0,2016,806,376,3207,0,69,2817,63,63,0,0,11969,30715.147260000023
D83034,4813,1729,2606,295,0,6150,2186,14,3441,268,279,5158,1,514,3835,284,54,0,0,22309,53451.201789999912
D83035,5207,1937,2698,412,0,4040,2306,0,3602,137,537,4633,50,279,3719,146,26,0,0,20462,77617.773199999952
D83036,1313,409,677,222,0,2041,313,0,757,64,87,1086,0,31,910,32,39,0,0,5661,15894.262310000004
D83037,4029,1531,2063,409,50,6335,1462,0,4251,150,374,5149,42,66,4451,305,0,0,0,21800,61799.034099999975
D83038,5199,2356,1976,850,18,5606,1567,0,4695,178,340,4135,0,147,3323,253,43,0,14,21738,74594.859850000052
D83039,6218,2452,3078,583,38,6431,2453,0,4213,46,353,6154,14,28,5251,392,24,0,0,25906,74140.108409999928
D83040,5318,1890,2067,1361,28,4109,1774,0,3285,244,336,4497,34,197,3731,276,133,0,0,19591,58593.829620000077
D83041,2034,740,1069,189,0,2937,1644,0,1034,73,230,2603,1,15,2303,17,3,0,0,10555,25023.784460000003
D83043,2166,743,1044,376,7,2574,322,6,1495,69,154,1602,0,0,1401,24,14,0,0,8395,21088.699410000027
D83044,6224,2247,3265,558,15,8333,2463,0,4954,223,607,7635,3,119,6299,307,161,0,0,30454,63769.640239999957
D83045,2153,1186,477,488,24,1739,501,0,1267,138,167,2106,0,131,1727,209,25,0,0,8095,26075.373980000026
D83046,5589,2245,2666,641,1,4752,2620,0,4431,64,277,5346,8,32,4704,67,23,0,5,23080,98955.929739999934
D83047,3227,1382,1452,289,11,3963,2718,3,3644,45,315,4787,16,177,3981,59,99,0,0,18713,61632.57226999991
D83048,5868,2095,2903,802,0,6140,2035,28,4542,181,420,6851,13,61,5765,262,59,0,0,26065,66588.23099
D83049,1919,603,1141,167,5,2779,891,0,2229,182,185,2608,0,54,2246,73,62,0,0,10798,24100.141740000032
D83050,1796,697,890,209,0,2159,920,0,1466,10,274,1619,0,0,1488,54,5,0,0,8244,27337.270789999959
D83051,5554,2223,2641,616,8,5176,1946,0,3819,44,319,4407,14,59,3907,58,60,0,0,21273,75582.478959999979
D83053,3646,1151,1993,417,34,3247,1259,0,2537,121,432,3758,0,13,3172,182,7,0,0,15034,34541.992040000026
D83054,1247,510,638,92,3,1467,387,0,908,3,229,1441,0,13,1288,38,0,0,0,5685,14434.109909999997
D83055,4069,1481,1815,721,11,3296,1606,0,5110,116,428,7309,43,243,6633,69,22,0,0,21945,56626.24588999994
D83056,4005,1326,2359,285,16,3218,1358,0,1914,30,226,3248,22,93,2720,166,57,0,4,14015,57865.622830000008
D83057,4291,1750,2004,516,5,5850,1359,11,2927,54,269,4007,10,34,3423,72,43,0,1,18773,51004.19349999995
D83058,3182,1062,1842,245,9,2614,1080,0,1456,47,79,2439,0,26,2075,29,59,0,0,10906,39176.052609999962
D83059,7722,3231,3913,468,36,5827,3056,61,5463,58,792,5679,19,33,4566,329,74,0,0,28694,66458.73226999992
D83060,11030,3421,5401,1914,137,10840,3257,0,9043,475,914,10271,58,306,8635,514,170,0,10,45967,147601.16852000009
D83061,3775,1492,1860,382,4,4674,1387,0,1909,52,366,2981,0,13,2696,75,13,0,0,15148,38498.65932999998
D83062,3295,1120,1558,617,23,2792,1443,0,3141,239,236,4178,0,12,3824,164,51,0,1,15347,34824.889329999962
D83064,1340,364,710,227,0,2370,372,0,1961,560,124,1987,0,7,1749,69,27,0,0,8714,18920.506849999991
D83067,1230,713,364,141,0,1877,486,0,1433,160,263,1712,0,153,1476,7,0,0,0,7161,19174.422629999994
D83069,1430,718,364,332,0,2581,470,0,1120,30,110,1797,0,80,1523,56,0,0,0,7538,22329.045599999994
D83070,1457,819,465,173,0,1900,780,0,1207,52,250,1867,4,33,1579,69,26,0,0,7513,26154.966829999998
D83073,1687,223,1287,162,0,1145,587,0,784,51,58,1257,0,13,1191,32,0,0,0,5569,13443.243569999991
D83074,4189,1530,2266,356,22,2872,1352,0,3597,47,151,3480,0,11,2959,79,11,0,0,15710,40487.168109999984
D83075,3152,947,1723,431,17,3207,1291,0,1926,246,225,3230,7,185,2696,109,27,0,0,13294,43831.207729999987
D83076,943,439,352,137,7,1196,716,0,894,48,435,1672,2,45,1510,14,10,0,0,5911,25981.471710000005
D83078,4081,2161,1672,242,13,2496,1418,0,2527,62,375,2742,13,91,2517,54,12,0,0,13714,30448.118370000015
D83079,4727,2273,1784,613,0,5583,917,0,2183,126,352,4652,18,139,3994,78,123,0,0,18540,55348.459569999941
D83080,1441,389,919,133,0,1804,817,0,1170,37,160,1937,0,0,1699,25,25,0,0,7366,21571.594490000003
D83081,2966,872,1696,389,14,2695,1097,0,2124,31,143,2847,2,1,2326,125,59,0,0,11917,41746.28917
D83082,2468,1191,1101,175,3,1342,645,0,1183,3,76,1662,0,26,1398,82,5,0,0,7382,22030.067519999986
D83084,1420,474,684,235,0,1524,720,0,1364,49,107,1324,0,28,1110,17,0,0,0,6508,21796.59117
D83608,2294,769,1112,283,19,2588,669,26,1748,20,174,2268,0,135,1836,100,7,0,0,9806,28454.708330000027
D83610,4153,1047,2181,921,33,3053,1591,7,4342,107,253,4401,22,64,3541,399,22,0,0,17940,68776.110890000011
D83615,852,449,334,43,0,1330,181,0,517,37,109,829,0,0,755,1,0,0,0,3855,10075.78818
E81001,497,269,207,21,0,396,324,0,869,213,141,495,0,0,471,5,0,0,0,2935,6128.0666200000032
E81002,1617,892,533,185,4,3034,1236,0,1602,123,308,2016,12,108,1635,48,62,0,0,9940,27766.359829999979
E81003,3131,972,1804,321,0,5426,1560,4,4579,232,386,4806,0,180,4157,184,5,0,0,20124,45497.680799999958
E81004,2016,891,957,168,0,3344,1350,0,2434,175,620,3252,0,120,2849,169,0,0,0,13191,25500.878769999988
E81005,1601,656,702,198,0,1213,500,5,916,97,65,1866,0,72,1610,54,63,0,0,6263,24429.939220000007
E81006,1094,544,473,76,13,1328,476,1,926,72,118,2111,0,55,1844,122,8,0,0,6139,19982.485800000009
E81007,1162,680,419,62,0,1242,500,0,1524,127,132,1179,0,52,1020,53,13,0,0,5866,11177.102370000002
E81008,3003,1179,1462,362,0,4178,1599,0,4150,236,406,5917,0,265,5344,193,14,0,0,19489,33468.155439999988
E81009,2508,1307,999,195,13,1708,1584,9,2806,221,214,3058,7,105,2670,131,15,0,0,12121,38961.431160000015
E81010,1281,562,579,114,0,1146,617,0,1329,35,78,1753,0,137,1230,282,66,0,0,6239,24518.94997999999
E81011,5734,1670,3768,106,6,3133,1381,6,4031,342,143,3651,3,150,2351,879,81,0,0,18427,63192.218969999987
E81012,2422,1330,945,132,9,4154,1212,6,1893,143,297,3114,10,287,2545,70,22,0,13,13250,36737.56660999998
E81013,1923,809,938,140,0,1590,1170,0,1862,151,224,2675,3,103,2213,181,13,0,0,9595,33958.780010000031
E81014,2435,1574,611,244,0,2288,1252,0,2605,29,78,2840,5,85,2269,362,58,0,0,11527,34592.24138
E81015,1959,885,834,219,41,4444,1848,0,3075,233,317,3788,0,172,3158,139,100,0,15,15705,53474.087609999995
E81016,715,269,323,94,0,482,193,0,808,101,166,1004,0,77,719,122,0,0,0,3469,13533.716920000006
E81017,1941,775,952,200,4,1998,1034,0,2219,269,155,2018,0,122,1552,218,12,0,0,9638,33342.768040000017
E81018,1733,655,940,109,0,1321,619,6,1700,73,132,1477,0,123,1197,32,0,0,0,7061,26006.985240000005
E81019,4116,1410,2437,248,0,2577,1322,8,4011,86,146,2810,0,111,2239,351,38,0,0,15076,39377.81136
E81021,976,354,559,18,0,1491,288,2,784,95,72,1737,2,57,1544,101,0,0,0,5445,15548.074690000005
E81022,2153,1163,803,168,0,4042,1238,0,2392,50,316,3114,0,119,2632,131,39,0,11,13305,26363.115449999954
E81023,619,322,258,39,0,869,526,0,463,76,93,583,0,6,469,32,12,0,0,3229,8577.3395899999978
E81024,1137,352,642,124,0,2180,664,0,588,62,90,2529,8,88,2196,136,4,0,0,7250,18321.605780000009
E81025,353,144,164,32,0,192,278,0,654,14,23,524,0,3,427,34,0,0,0,2038,7300.1609100000014
E81026,836,375,407,52,0,1056,716,0,1210,47,104,1358,19,13,1167,136,12,0,0,5327,23386.111670000006
E81027,1943,620,1006,254,0,1653,722,0,2141,39,214,2728,13,61,2291,203,59,0,0,9440,28843.470629999989
E81028,1227,459,668,100,0,1391,596,0,1956,88,166,2402,0,77,2062,124,32,0,0,7826,28760.42469
E81029,1731,634,870,193,24,2002,888,0,2254,133,193,2285,0,75,2014,66,13,0,0,9510,25845.322990000004
E81030,982,421,447,110,0,874,374,23,1138,105,80,1380,0,36,1160,160,0,0,0,4956,15546.951030000009
E81031,409,202,192,0,0,1566,651,0,502,207,38,1061,0,66,961,0,5,0,0,4434,8214.7739100000017
E81032,4627,1580,2821,203,0,2166,1158,0,2917,216,376,2836,0,59,2463,164,24,0,0,14296,46756.053069999951
E81033,3625,2126,1197,278,0,6371,2484,0,5309,54,727,5984,33,388,5115,156,104,0,6,24554,54998.103159999941
E81034,1190,516,550,92,0,1425,844,19,1350,27,83,1519,0,77,1305,70,41,0,0,6457,14518.329400000011
E81035,2062,1181,740,135,0,3670,727,0,1556,29,293,2138,0,64,1837,113,35,0,0,10475,21029.378829999991
E81036,2500,1039,981,292,0,3020,2251,0,2620,60,246,3810,0,369,2604,524,134,0,0,14507,42098.313630000026
E81037,2155,848,1011,170,5,2166,1103,0,3166,444,152,3107,0,267,2463,149,12,0,0,12298,37924.278190000019
E81038,3370,1403,1836,91,14,2975,1379,18,3492,270,462,3716,0,86,3243,192,13,0,0,15696,48646.304510000053
E81040,865,355,397,106,0,1943,674,0,1333,36,93,2489,0,62,2166,141,73,0,0,7433,17095.555639999995
E81041,1760,584,1068,85,0,1561,703,0,1746,140,139,1910,17,53,1572,140,15,0,0,7959,31277.974540000021
E81043,1183,570,491,120,0,1083,585,0,746,57,138,1416,0,29,1165,70,100,0,0,5208,17560.943100000004
E81044,3409,1555,1520,316,0,5006,2478,0,6624,332,460,6413,0,226,5446,444,17,0,0,24722,65242.409280000007
E81045,1785,652,916,187,0,1751,853,0,1904,39,125,2202,12,161,1654,130,14,0,0,8659,32022.65959999997
E81046,2085,766,1085,146,0,2167,1743,0,2751,124,185,3788,0,87,3222,232,96,0,0,12843,25693.580949999996
E81047,1800,1139,561,93,0,2176,725,19,1625,140,198,2033,0,85,1742,64,32,0,0,8716,37447.034109999957
E81048,1192,479,585,128,0,679,556,0,1087,10,52,1351,0,16,1096,149,9,0,0,4927,12685.150169999992
E81049,1024,626,344,52,0,655,340,0,1157,46,134,1297,0,67,1050,106,14,0,0,4653,21294.682249999973
E81050,1619,638,850,128,0,2293,1146,0,2550,301,156,3222,0,146,2599,326,53,0,0,11287,28490.59555
E81052,2215,817,841,372,0,1729,980,0,1649,15,230,2104,0,105,1788,32,30,0,0,8922,30133.803719999993
E81054,330,171,134,25,0,366,262,0,427,21,76,634,0,65,513,31,0,0,0,2116,7098.6207299999905
E81056,1063,298,585,168,0,1450,312,0,1353,41,75,1584,2,15,1403,139,2,0,0,5878,18608.955160000009
E81057,3385,1615,1349,391,1,4570,2274,0,3725,221,480,4080,0,430,3260,184,21,0,0,18736,38845.826209999963
E81059,1344,650,563,112,7,1735,505,0,2206,353,123,1602,0,78,1439,31,4,0,0,7875,17151.699109999983
E81060,999,366,597,23,5,786,534,0,843,90,112,1083,0,53,846,143,0,0,0,4452,13154.498270000004
E81061,868,537,233,98,14,1600,852,0,798,65,105,1382,0,61,1250,7,0,0,0,5684,9958.3311400000021
E81063,717,54,601,62,0,559,282,0,617,146,49,2093,0,18,1852,144,22,0,0,4463,7513.9853399999947
E81064,440,199,183,58,6,1087,303,5,584,23,48,901,0,31,784,20,19,0,0,3397,15084.418719999992
E81065,298,105,136,51,0,406,174,0,250,15,73,889,0,56,815,4,3,0,0,2105,5071.0349800000031
E81069,1019,465,507,47,0,2016,760,0,966,11,176,1735,0,115,1473,105,16,0,0,6683,14594.650110000011
E81073,2678,743,1684,245,1,2157,1795,0,3328,51,114,2029,0,111,1676,161,0,0,0,12153,35330.251910000006
E81074,2640,931,1399,269,0,3882,1404,0,3198,247,224,4134,0,400,3123,184,192,0,0,15729,26653.158180000013
E81076,385,91,273,21,0,556,424,0,801,7,37,723,0,14,674,32,0,0,0,2933,4146.6438300000009
E81077,731,245,323,137,0,1819,1016,0,622,179,140,1306,0,115,1130,15,20,0,0,5813,11216.438910000008
E81611,653,217,427,9,0,618,113,0,475,9,49,488,0,0,418,33,0,0,0,2405,6333.83324
E81612,416,188,224,4,0,553,192,5,560,70,90,1030,0,16,938,56,3,0,0,2916,7045.4485500000019
E81615,222,18,182,15,0,329,25,0,159,26,28,493,0,0,480,2,5,0,0,1282,3060.3710700000024
E81617,539,188,314,20,0,710,190,0,706,40,14,761,0,8,735,1,5,0,0,2960,9550.0119599999962
E81631,182,47,18,46,0,77,36,0,200,44,14,475,0,0,466,2,0,0,0,1028,2050.157729999999
E81632,1022,385,548,85,0,703,720,0,1073,294,20,1675,0,102,1445,30,7,0,0,5507,16198.943010000012
E81633,345,99,180,66,0,142,73,0,326,103,9,214,0,2,207,1,0,0,0,1212,2437.2826399999985
E81635,549,230,259,48,0,436,172,0,483,5,20,469,0,6,447,15,0,0,0,2134,6165.71562
E82001,4411,2370,1438,560,0,5684,1830,0,5286,1618,436,5375,0,259,4474,232,34,0,0,24640,52440.567380000044
E82002,1792,698,817,260,9,2777,1167,12,2576,105,293,2193,0,77,1571,406,49,0,0,10924,26233.805409999994
E82004,204,121,83,0,0,636,191,0,199,12,123,817,0,5,768,0,0,0,0,2182,3507.8103899999996
E82005,8345,3304,3920,1000,0,11108,3838,12,7729,670,965,13856,103,647,11172,1167,103,0,0,46523,116909.37846999994
E82006,864,301,488,75,7,1787,407,0,1029,130,383,1975,0,114,1677,71,20,0,0,6582,22292.758980000028
E82007,1042,349,576,104,0,3090,817,6,1388,89,138,2092,44,70,1705,48,46,0,0,8662,46284.467380000031
E82008,2265,1062,933,255,0,3921,959,0,3037,191,179,4290,10,264,3139,631,80,0,15,14842,48550.257169999983
E82009,2641,733,1725,116,0,2896,1294,0,3206,34,142,2847,0,55,2150,249,67,0,0,13060,29728.705560000002
E82012,2087,719,1156,195,6,2600,1197,0,1374,196,342,2325,50,160,1913,104,15,0,0,10127,79073.2260199999
E82013,2910,653,1778,376,13,2764,1169,0,2181,53,237,3004,0,24,2495,202,3,0,0,12331,39555.96876
E82014,1939,803,1042,36,9,1984,1075,0,2643,82,215,2153,5,40,1697,192,0,0,0,10100,35511.806190000039
E82015,1929,350,1403,166,0,2569,506,6,2654,46,286,2100,7,66,1697,154,62,0,0,10096,29398.095779999974
E82017,1107,294,616,163,45,2215,765,0,1170,57,240,1957,8,143,1454,54,53,0,0,7556,24848.527539999995
E82018,3444,1082,1926,268,19,2909,1800,0,3320,178,231,3299,28,134,2374,482,13,0,0,15200,55582.439399999952
